YR,PAT_COUNTY,COUNTY,NPCSEC_CNT,PCSEC_CNT,TOTAL,PCRATE
2016,475,Ward County,91,18,109,16.5
2019,113,Dallas County,16643,3283,19926,16.5
2019,161,Freestone County,86,17,103,16.5
2019,291,Liberty County,471,93,564,16.5
2016,117,Deaf Smith County,92,18,110,16.4
2016,471,Walker County,484,95,579,16.4
2016,481,Wharton County,337,66,403,16.4
2018,317,Martin County,51,10,61,16.4
2018,429,Stephens County,56,11,67,16.4
2019,117,Deaf Smith County,138,27,165,16.4
2019,139,Ellis County,1078,211,1289,16.4
2016,091,Comal County,932,181,1113,16.3
2016,401,Rusk County,293,57,350,16.3
2017,395,Robertson County,113,22,135,16.3
2018,047,Brooks County,67,13,80,16.3
2018,103,Crane County,36,7,43,16.3
2019,179,Gray County,108,21,129,16.3
2016,213,Henderson County,574,111,685,16.2
2016,489,Willacy County,166,32,198,16.2
2017,099,Coryell County,362,70,432,16.2
2017,163,Frio County,114,22,136,16.2
2019,281,Lampasas County,93,18,111,16.2
2016,249,Jim Wells County,350,67,417,16.1
2016,287,Lee County,94,18,112,16.1
2016,313,Madison County,94,18,112,16.1
2016,383,Reagan County,47,9,56,16.1
2016,423,Smith County,1857,356,2213,16.1
2017,041,Brazos County,1484,285,1769,16.1
2018,035,Bosque County,104,20,124,16.1
2018,161,Freestone County,135,26,161,16.1
2019,021,Bastrop County,475,91,566,16.1
2019,053,Burnet County,162,31,193,16.1
2019,247,Jim Hogg County,26,5,31,16.1
2016,107,Crosby County,42,8,50,16
2016,325,Medina County,283,54,337,16
2017,049,Brown County,226,43,269,16
2017,215,Hidalgo County,7918,1507,9425,16
2018,051,Burleson County,100,19,119,16
2018,131,Duval County,84,16,100,16
2018,197,Hardeman County,21,4,25,16
2018,455,Trinity County,84,16,100,16
2019,147,Fannin County,136,26,162,16
2019,185,Grimes County,126,24,150,16
2019,355,Nueces County,1879,357,2236,16
2016,365,Panola County,143,27,170,15.9
2017,507,Zavala County,53,10,63,15.9
2018,237,Jack County,37,7,44,15.9
2016,005,Angelina County,673,126,799,15.8
2016,041,Brazos County,1556,293,1849,15.8
2016,229,Hudspeth County,16,3,19,15.8
2017,313,Madison County,85,16,101,15.8
2017,401,Rusk County,308,58,366,15.8
2017,417,Shackelford County,16,3,19,15.8
2018,031,Blanco County,48,9,57,15.8
2018,191,Hall County,16,3,19,15.8
2018,377,Presidio County,64,12,76,15.8
2018,413,Schleicher County,16,3,19,15.8
2018,435,Sutton County,32,6,38,15.8
2019,079,Cochran County,16,3,19,15.8
2019,253,Jones County,64,12,76,15.8
2019,441,Taylor County,915,172,1087,15.8
2019,499,Wood County,187,35,222,15.8
2016,315,Marion County,59,11,70,15.7
2017,465,Val Verde County,435,81,516,15.7
2018,041,Brazos County,1539,286,1825,15.7
2018,053,Burnet County,241,45,286,15.7
2018,227,Howard County,241,45,286,15.7
2018,389,Reeves County,107,20,127,15.7
2019,031,Blanco County,43,8,51,15.7
2019,149,Fayette County,102,19,121,15.7
2019,187,Guadalupe County,612,114,726,15.7
2016,093,Comanche County,81,15,96,15.6
2016,119,Delta County,38,7,45,15.6
2016,187,Guadalupe County,863,160,1023,15.6
2016,465,Val Verde County,534,99,633,15.6
2016,487,Wilbarger County,92,17,109,15.6
2017,253,Jones County,92,17,109,15.6
2017,315,Marion County,54,10,64,15.6
2018,251,Johnson County,1359,251,1610,15.6
2019,305,Lynn County,27,5,32,15.6
2016,097,Cooke County,290,53,343,15.5
2016,281,Lampasas County,120,22,142,15.5
2017,317,Martin County,49,9,58,15.5
2018,067,Cass County,169,31,200,15.5
2019,313,Madison County,71,13,84,15.5
2019,399,Runnels County,60,11,71,15.5
2016,193,Hamilton County,66,12,78,15.4
2017,091,Comal County,968,176,1144,15.4
2017,109,Culberson County,22,4,26,15.4
2017,135,Ector County,1554,283,1837,15.4
2017,259,Kendall County,230,42,272,15.4
2017,265,Kerr County,313,57,370,15.4
2017,451,Tom Green County,921,168,1089,15.4
2017,459,Upshur County,241,44,285,15.4
2018,401,Rusk County,274,50,324,15.4
2019,293,Limestone County,99,18,117,15.4
2019,309,McLennan County,1419,258,1677,15.4
2019,329,Midland County,1354,247,1601,15.4
2016,049,Brown County,233,42,275,15.3
2016,251,Johnson County,1343,242,1585,15.3
2016,329,Midland County,1721,311,2032,15.3
2017,255,Karnes County,105,19,124,15.3
2017,403,Sabine County,61,11,72,15.3
2017,497,Wise County,450,81,531,15.3
2018,005,Angelina County,677,122,799,15.3
2018,145,Falls County,94,17,111,15.3
2018,253,Jones County,83,15,98,15.3
2018,287,Lee County,133,24,157,15.3
2019,249,Jim Wells County,211,38,249,15.3
2016,051,Burleson County,117,21,138,15.2
2016,185,Grimes County,195,35,230,15.2
2017,055,Caldwell County,347,62,409,15.2
2017,139,Ellis County,1419,254,1673,15.2
2017,249,Jim Wells County,302,54,356,15.2
2018,007,Aransas County,95,17,112,15.2
2018,165,Gaines County,196,35,231,15.2
2016,077,Clay County,45,8,53,15.1
2016,415,Scurry County,158,28,186,15.1
2017,145,Falls County,90,16,106,15.1
2018,093,Comanche County,79,14,93,15.1
2016,131,Duval County,96,17,113,15
2016,299,Llano County,113,20,133,15
2016,381,Randall County,1015,179,1194,15
2016,421,Sherman County,17,3,20,15
2017,105,Crockett County,17,3,20,15
2018,075,Childress County,34,6,40,15
2018,215,Hidalgo County,7986,1411,9397,15
2018,223,Hopkins County,272,48,320,15
2018,405,San Augustine County,51,9,60,15
2018,423,Smith County,1717,304,2021,15
2018,465,Val Verde County,448,79,527,15
2018,487,Wilbarger County,96,17,113,15
2017,337,Montague County,120,21,141,14.9
2017,423,Smith County,1790,314,2104,14.9
2017,437,Swisher County,40,7,47,14.9
2018,073,Cherokee County,435,76,511,14.9
2018,203,Harrison County,326,57,383,14.9
2019,287,Lee County,74,13,87,14.9
2019,371,Pecos County,80,14,94,14.9
2016,293,Limestone County,190,33,223,14.8
2017,217,Hill County,224,39,263,14.8
2017,251,Johnson County,1402,243,1645,14.8
2017,353,Nolan County,115,20,135,14.8
2018,017,Bailey County,69,12,81,14.8
2018,213,Henderson County,559,97,656,14.8
2018,461,Upton County,23,4,27,14.8
2019,077,Clay County,23,4,27,14.8
2019,153,Floyd County,23,4,27,14.8
2019,363,Palo Pinto County,132,23,155,14.8
2016,139,Ellis County,1410,243,1653,14.7
2016,209,Hays County,1570,270,1840,14.7
2017,387,Red River County,64,11,75,14.7
2017,399,Runnels County,58,10,68,14.7
2019,213,Henderson County,431,74,505,14.7
2016,027,Bell County,2475,423,2898,14.6
2016,353,Nolan County,123,21,144,14.6
2018,187,Guadalupe County,898,153,1051,14.6
2018,189,Hale County,234,40,274,14.6
2019,075,Childress County,35,6,41,14.6
2019,183,Gregg County,932,159,1091,14.6
2019,227,Howard County,169,29,198,14.6
2019,401,Rusk County,222,38,260,14.6
2016,309,McLennan County,2244,380,2624,14.5
2017,005,Angelina County,630,107,737,14.5
2017,177,Gonzales County,153,26,179,14.5
2017,293,Limestone County,165,28,193,14.5
2018,329,Midland County,1813,307,2120,14.5
2019,215,Hidalgo County,5718,972,6690,14.5
2016,183,Gregg County,1213,204,1417,14.4
2017,021,Bastrop County,652,110,762,14.4
2019,365,Panola County,101,17,118,14.4
2016,411,San Saba County,42,7,49,14.3
2017,475,Ward County,96,16,112,14.3
2018,019,Bandera County,90,15,105,14.3
2018,137,Edwards County,18,3,21,14.3
2018,209,Hays County,1625,272,1897,14.3
2018,259,Kendall County,227,38,265,14.3
2018,333,Mills County,18,3,21,14.3
2018,421,Sherman County,24,4,28,14.3
2018,483,Wheeler County,24,4,28,14.3
2019,197,Hardeman County,12,2,14,14.3
2019,267,Kimble County,18,3,21,14.3
2019,295,Lipscomb County,18,3,21,14.3
2019,495,Winkler County,54,9,63,14.3
2016,003,Andrews County,187,31,218,14.2
2016,063,Camp County,97,16,113,14.2
2016,135,Ector County,1738,287,2025,14.2
2017,097,Cooke County,297,49,346,14.2
2018,381,Randall County,938,155,1093,14.2
2019,367,Parker County,679,112,791,14.2
2016,331,Milam County,170,28,198,14.1
2017,165,Gaines County,226,37,263,14.1
2017,209,Hays County,1605,263,1868,14.1
2019,209,Hays County,1236,203,1439,14.1
2019,423,Smith County,1260,207,1467,14.1
2017,195,Hansford County,49,8,57,14
2016,143,Erath County,291,47,338,13.9
2017,341,Moore County,204,33,237,13.9
2017,485,Wichita County,1040,168,1208,13.9
2018,177,Gonzales County,167,27,194,13.9
2018,217,Hill County,235,38,273,13.9
2019,221,Hood County,272,44,316,13.9
2017,093,Comanche County,81,13,94,13.8
2017,207,Haskell County,25,4,29,13.8
2019,015,Austin County,162,26,188,13.8
2019,099,Coryell County,287,46,333,13.8
2019,127,Dimmit County,50,8,58,13.8
2019,381,Randall County,694,111,805,13.8
2017,363,Palo Pinto County,157,25,182,13.7
2019,217,Hill County,177,28,205,13.7
2019,375,Potter County,754,120,874,13.7
2016,259,Kendall County,222,35,257,13.6
2016,363,Palo Pinto County,165,26,191,13.6
2017,027,Bell County,2405,379,2784,13.6
2017,119,Delta County,38,6,44,13.6
2017,381,Randall County,831,131,962,13.6
2018,283,La Salle County,38,6,44,13.6
2018,481,Wharton County,356,56,412,13.6
2018,499,Wood County,274,43,317,13.6
2019,143,Erath County,216,34,250,13.6
2016,459,Upshur County,257,40,297,13.5
2017,343,Morris County,90,14,104,13.5
2017,463,Uvalde County,238,37,275,13.5
2018,183,Gregg County,1137,178,1315,13.5
2019,297,Live Oak County,45,7,52,13.5
2016,115,Dawson County,97,15,112,13.4
2017,161,Freestone County,123,19,142,13.4
2018,299,Llano County,116,18,134,13.4
2018,313,Madison County,97,15,112,13.4
2018,497,Wise County,441,68,509,13.4
2019,265,Kerr County,219,34,253,13.4
2018,337,Montague County,124,19,143,13.3
2019,445,Terry County,85,13,98,13.3
2016,337,Montague County,158,24,182,13.2
2016,341,Moore County,257,39,296,13.2
2016,399,Runnels County,59,9,68,13.2
2016,485,Wichita County,1087,165,1252,13.2
2017,203,Harrison County,363,55,418,13.2
2018,097,Cooke County,289,44,333,13.2
2018,309,McLennan County,2086,318,2404,13.2
2018,503,Young County,112,17,129,13.2
2019,415,Scurry County,92,14,106,13.2
2016,017,Bailey County,73,11,84,13.1
2016,021,Bastrop County,692,104,796,13.1
2016,067,Cass County,172,26,198,13.1
2016,497,Wise County,469,71,540,13.1
2017,309,McLennan County,2084,313,2397,13.1
2018,219,Hockley County,166,25,191,13.1
2018,281,Lampasas County,126,19,145,13.1
2019,177,Gonzales County,113,17,130,13.1
2019,449,Titus County,159,24,183,13.1
2016,271,Kinney County,20,3,23,13
2016,335,Mitchell County,60,9,69,13
2017,047,Brooks County,67,10,77,13
2017,151,Fisher County,20,3,23,13
2019,163,Frio County,67,10,77,13
2019,331,Milam County,114,17,131,13
2016,053,Burnet County,271,40,311,12.9
2016,273,Kleberg County,250,37,287,12.9
2016,367,Parker County,816,121,937,12.9
2016,477,Washington County,243,36,279,12.9
2017,193,Hamilton County,61,9,70,12.9
2018,027,Bell County,2403,356,2759,12.9
2018,117,Deaf Smith County,203,30,233,12.9
2018,367,Parker County,839,124,963,12.9
2019,131,Duval County,81,12,93,12.9
2019,497,Wise County,350,52,402,12.9
2019,507,Zavala County,74,11,85,12.9
2016,083,Coleman County,41,6,47,12.8
2017,367,Parker County,733,108,841,12.8
2017,389,Reeves County,123,18,141,12.8
2018,077,Clay County,41,6,47,12.8
2018,159,Franklin County,75,11,86,12.8
2018,449,Titus County,272,40,312,12.8
2018,463,Uvalde County,251,37,288,12.8
2018,485,Wichita County,1038,152,1190,12.8
2019,465,Val Verde County,353,52,405,12.8
2016,161,Freestone County,137,20,157,12.7
2017,179,Gray County,158,23,181,12.7
2018,069,Castro County,55,8,63,12.7
2018,143,Erath County,274,40,314,12.7
2018,221,Hood County,322,47,369,12.7
2018,399,Runnels County,62,9,71,12.7
2019,027,Bell County,1905,276,2181,12.7
2019,325,Medina County,219,32,251,12.7
2016,377,Presidio County,83,12,95,12.6
2017,487,Wilbarger County,83,12,95,12.6
2018,353,Nolan County,118,17,135,12.6
2016,007,Aransas County,119,17,136,12.5
2016,095,Concho County,14,2,16,12.5
2016,105,Crockett County,28,4,32,12.5
2016,125,Dickens County,14,2,16,12.5
2016,237,Jack County,56,8,64,12.5
2017,079,Cochran County,28,4,32,12.5
2017,153,Floyd County,49,7,56,12.5
2018,129,Donley County,14,2,16,12.5
2018,225,Houston County,112,16,128,12.5
2019,229,Hudspeth County,14,2,16,12.5
2019,317,Martin County,35,5,40,12.5
2019,411,San Saba County,28,4,32,12.5
2019,425,Somervell County,28,4,32,12.5
2016,165,Gaines County,240,34,274,12.4
2018,099,Coryell County,340,48,388,12.4
2018,507,Zavala County,92,13,105,12.4
2019,337,Montague County,99,14,113,12.4
2016,111,Dallam County,135,19,154,12.3
2016,375,Potter County,1199,168,1367,12.3
2017,007,Aransas County,108,15,123,12.2
2019,165,Gaines County,187,26,213,12.2
2016,031,Blanco County,58,8,66,12.1
2016,055,Caldwell County,335,46,381,12.1
2017,375,Potter County,1031,142,1173,12.1
2018,063,Camp County,116,16,132,12.1
2016,159,Franklin County,66,9,75,12
2017,053,Burnet County,235,32,267,12
2018,065,Carson County,22,3,25,12
2018,475,Ward County,117,16,133,12
2019,063,Camp County,73,10,83,12
2016,221,Hood County,409,55,464,11.9
2016,253,Jones County,111,15,126,11.9
2016,321,Matagorda County,364,49,413,11.9
2016,391,Refugio County,52,7,59,11.9
2016,425,Somervell County,59,8,67,11.9
2018,265,Kerr County,325,44,369,11.9
2016,203,Harrison County,410,55,465,11.8
2016,343,Morris County,90,12,102,11.8
2019,083,Coleman County,30,4,34,11.8
2019,343,Morris County,60,8,68,11.8
2019,419,Shelby County,134,18,152,11.8
2016,179,Gray County,189,25,214,11.7
2016,507,Zavala County,53,7,60,11.7
2017,117,Deaf Smith County,143,19,162,11.7
2017,303,Lubbock County,2651,349,3000,11.6
2019,353,Nolan County,99,13,112,11.6
2019,485,Wichita County,647,85,732,11.6
2016,171,Gillespie County,161,21,182,11.5
2017,111,Dallam County,115,15,130,11.5
2017,129,Donley County,23,3,26,11.5
2018,003,Andrews County,185,24,209,11.5
2018,115,Dawson County,100,13,113,11.5
2018,363,Palo Pinto County,216,28,244,11.5
2019,059,Callahan County,46,6,52,11.5
2016,449,Titus County,319,41,360,11.4
2017,383,Reagan County,39,5,44,11.4
2018,153,Floyd County,39,5,44,11.4
2019,193,Hamilton County,39,5,44,11.4
2019,341,Moore County,163,21,184,11.4
2017,221,Hood County,399,51,450,11.3
2017,331,Milam County,180,23,203,11.3
2018,375,Potter County,1021,130,1151,11.3
2019,003,Andrews County,134,17,151,11.3
2017,415,Scurry County,119,15,134,11.2
2018,249,Jim Wells County,301,38,339,11.2
2019,097,Cooke County,191,24,215,11.2
2016,275,Knox County,24,3,27,11.1
2017,449,Titus County,288,36,324,11.1
2018,055,Caldwell County,368,46,414,11.1
2018,229,Hudspeth County,24,3,27,11.1
2018,331,Milam County,168,21,189,11.1
2019,017,Bailey County,65,8,73,11
2016,059,Callahan County,90,11,101,10.9
2016,303,Lubbock County,2715,331,3046,10.9
2017,281,Lampasas County,139,17,156,10.9
2017,219,Hockley County,173,21,194,10.8
2017,445,Terry County,116,14,130,10.8
2019,019,Bandera County,66,8,74,10.8
2016,405,San Augustine County,50,6,56,10.7
2017,275,Knox County,25,3,28,10.7
2018,275,Knox County,25,3,28,10.7
2019,055,Caldwell County,300,36,336,10.7
2019,377,Presidio County,50,6,56,10.7
2018,297,Live Oak County,59,7,66,10.6
2016,265,Kerr County,342,40,382,10.5
2018,315,Marion County,51,6,57,10.5
2019,023,Baylor County,17,2,19,10.5
2019,211,Hemphill County,17,2,19,10.5
2019,461,Upton County,17,2,19,10.5
2016,099,Coryell County,378,44,422,10.4
2016,463,Uvalde County,232,27,259,10.4
2017,143,Erath County,311,36,347,10.4
2018,111,Dallam County,122,14,136,10.3
2019,005,Angelina County,505,58,563,10.3
2018,107,Crosby County,53,6,59,10.2
2018,419,Shelby County,203,23,226,10.2
2018,437,Swisher County,44,5,49,10.2
2016,417,Shackelford County,18,2,20,10
2017,107,Crosby County,45,5,50,10
2016,145,Falls County,145,16,161,9.9
2016,103,Crane County,46,5,51,9.8
2018,193,Hamilton County,55,6,61,9.8
2017,503,Young County,130,14,144,9.7
2018,303,Lubbock County,2574,278,2852,9.7
2019,335,Mitchell County,28,3,31,9.7
2017,017,Bailey County,75,8,83,9.6
2019,133,Eastland County,113,12,125,9.6
2019,347,Nacogdoches County,347,37,384,9.6
2017,023,Baylor County,19,2,21,9.5
2019,219,Hockley County,124,13,137,9.5
2019,483,Wheeler County,19,2,21,9.5
2017,501,Yoakum County,77,8,85,9.4
2019,279,Lamb County,77,8,85,9.4
2016,153,Floyd County,49,5,54,9.3
2016,211,Hemphill County,39,4,43,9.3
2017,035,Bosque County,127,13,140,9.3
2018,343,Morris County,88,9,97,9.3
2019,115,Dawson County,69,7,76,9.2
2017,131,Duval County,90,9,99,9.1
2017,327,Menard County,10,1,11,9.1
2018,295,Lipscomb County,20,2,22,9.1
2016,219,Hockley County,151,15,166,9
2019,047,Brooks County,51,5,56,8.9
2019,145,Falls County,92,9,101,8.9
2017,347,Nacogdoches County,519,50,569,8.8
2018,267,Kimble County,31,3,34,8.8
2018,279,Lamb County,104,10,114,8.8
2016,043,Brewster County,63,6,69,8.7
2016,169,Garza County,42,4,46,8.7
2017,103,Crane County,42,4,46,8.7
2017,229,Hudspeth County,21,2,23,8.7
2017,279,Lamb County,95,9,104,8.7
2018,347,Nacogdoches County,513,49,562,8.7
2018,385,Real County,21,2,23,8.7
2019,107,Crosby County,42,4,46,8.7
2019,463,Uvalde County,188,18,206,8.7
2016,445,Terry County,106,10,116,8.6
2016,011,Armstrong County,11,1,12,8.3
2016,433,Stonewall County,11,1,12,8.3
2018,011,Armstrong County,11,1,12,8.3
2018,173,Glasscock County,11,1,12,8.3
2018,205,Hartley County,11,1,12,8.3
2018,447,Throckmorton County,11,1,12,8.3
2016,305,Lynn County,45,4,49,8.2
2019,303,Lubbock County,2034,179,2213,8.1
2017,385,Real County,23,2,25,8
2018,151,Fisher County,23,2,25,8
2017,419,Shelby County,209,18,227,7.9
2018,371,Pecos County,130,11,141,7.8
2017,087,Collingsworth County,12,1,13,7.7
2017,205,Hartley County,12,1,13,7.7
2017,267,Kimble County,24,2,26,7.7
2019,151,Fisher County,12,1,13,7.7
2016,347,Nacogdoches County,540,44,584,7.5
2017,169,Garza County,37,3,40,7.5
2019,387,Red River County,49,4,53,7.5
2016,385,Real County,25,2,27,7.4
2016,419,Shelby County,241,19,260,7.3
2019,379,Rains County,38,3,41,7.3
2018,081,Coke County,13,1,14,7.1
2018,305,Lynn County,39,3,42,7.1
2019,327,Menard County,13,1,14,7.1
2017,319,Mason County,27,2,29,6.9
2019,307,McCulloch County,28,2,30,6.7
2019,421,Sherman County,14,1,15,6.7
2016,369,Parmer County,43,3,46,6.5
2018,211,Hemphill County,29,2,31,6.5
2018,445,Terry County,115,8,123,6.5
2019,159,Franklin County,58,4,62,6.5
2017,305,Lynn County,44,3,47,6.4
2019,503,Young County,102,7,109,6.4
2016,023,Baylor County,30,2,32,6.3
2017,357,Ochiltree County,75,5,80,6.3
2019,283,La Salle County,30,2,32,6.3
2019,319,Mason County,15,1,16,6.3
2019,111,Dallam County,91,6,97,6.2
2019,315,Marion County,46,3,49,6.1
2019,429,Stephens County,49,3,52,5.8
2016,009,Archer County,50,3,53,5.7
2017,211,Hemphill County,33,2,35,5.7
2016,065,Carson County,34,2,36,5.6
2017,011,Armstrong County,18,1,19,5.3
2017,237,Jack County,36,2,38,5.3
2018,319,Mason County,18,1,19,5.3
2019,129,Donley County,18,1,19,5.3
2019,207,Haskell County,19,1,20,5
2016,079,Cochran County,20,1,21,4.8
2017,081,Coke County,20,1,21,4.8
2017,065,Carson County,24,1,25,4
2019,169,Garza County,24,1,25,4
2017,411,San Saba County,26,1,27,3.7
2017,405,San Augustine County,58,2,60,3.3
2017,069,Castro County,39,1,40,2.5
2019,069,Castro County,48,1,49,2
